Name:;Data 8199 2391 4/19/2024 14:37:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Owner:;VLIR-UOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comments:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acquisition Date:;4/19/2024 2:37:37 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
&Instrument:;34972A;Address:;USB0::2391::8199::MY57007646::0::INSTR;Modules:;1;Slot1:;34901A;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Channels:;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Test;Low;High;HWAlarm;;;;;;;;;;;;;;;;;;;;
1;4/19/2024 14:37:37:233;16.22;0;15.966;0;15.904;0;15.831;0;15.721;0;15.761;0;15.69;0;15.636;0;15.701;0;15.98;0;16.08;0;15.525;0;15.525;0;15.568;0;15.484;0;16.248;0
2;4/19/2024 14:37:39:217;16.21;0;15.987;0;15.893;0;15.823;0;15.716;0;15.753;0;15.666;0;15.644;0;15.685;0;15.975;0;16.086;0;15.541;0;15.539;0;15.584;0;15.476;0;16.246;0
3;4/19/2024 14:37:41:217;16.207;0;15.987;0;15.909;0;15.82;0;15.739;0;15.756;0;15.679;0;15.634;0;15.677;0;15.93;0;16.078;0;15.541;0;15.518;0;15.568;0;15.481;0;16.232;0
4;4/19/2024 14:37:43:217;16.228;0;15.961;0;15.886;0;15.823;0;15.729;0;15.745;0;15.653;0;15.644;0;15.675;0;15.922;0;16.075;0;15.536;0;15.541;0;15.555;0;15.476;0;16.248;0
5;4/19/2024 14:37:45:217;16.215;0;15.974;0;15.891;0;15.839;0;15.734;0;15.734;0;15.664;0;15.618;0;15.67;0;15.919;0;16.08;0;15.533;0;15.525;0;15.57;0;15.462;0;16.248;0
6;4/19/2024 14:37:47:217;16.22;0;15.977;0;15.893;0;15.831;0;15.713;0;15.741;0;15.664;0;15.632;0;15.684;0;15.895;0;16.076;0;15.524;0;15.515;0;15.57;0;15.476;0;16.24;0
7;4/19/2024 14:37:49:217;16.217;0;15.989;0;15.891;0;15.825;0;15.719;0;15.736;0;15.67;0;15.643;0;15.687;0;15.92;0;16.084;0;15.534;0;15.546;0;15.581;0;15.481;0;16.269;0
8;4/19/2024 14:37:51:217;16.204;0;15.958;0;15.899;0;15.802;0;15.714;0;15.761;0;15.657;0;15.628;0;15.683;0;15.905;0;16.092;0;15.534;0;15.544;0;15.594;0;15.486;0;16.264;0
9;4/19/2024 14:37:53:217;16.175;0;15.978;0;15.892;0;15.844;0;15.723;0;15.746;0;15.669;0;15.664;0;15.671;0;15.915;0;16.089;0;15.542;0;15.538;0;15.589;0;15.488;0;16.269;0
10;4/19/2024 14:37:55:217;16.185;0;15.95;0;15.89;0;15.831;0;15.729;0;15.751;0;15.683;0;15.648;0;15.698;0;15.924;0;16.115;0;15.555;0;15.575;0;15.595;0;15.511;0;16.291;0
11;4/19/2024 14:37:57:217;16.151;0;15.956;0;15.891;0;15.815;0;15.734;0;15.765;0;15.683;0;15.664;0;15.701;0;15.898;0;16.097;0;15.561;0;15.565;0;15.6;0;15.521;0;16.289;0
12;4/19/2024 14:37:59:217;16.156;0;15.956;0;15.886;0;15.839;0;15.713;0;15.759;0;15.683;0;15.643;0;15.696;0;15.924;0;16.098;0;15.563;0;15.572;0;15.629;0;15.521;0;16.294;0
13;4/19/2024 14:38:01:217;16.138;0;15.941;0;15.883;0;15.815;0;15.737;0;15.758;0;15.658;0;15.658;0;15.701;0;15.914;0;16.117;0;15.576;0;15.57;0;15.632;0;15.518;0;16.302;0
14;4/19/2024 14:38:03:217;16.12;0;15.932;0;15.883;0;15.839;0;15.746;0;15.758;0;15.68;0;15.652;0;15.694;0;15.921;0;16.122;0;15.574;0;15.567;0;15.624;0;15.518;0;16.296;0
15;4/19/2024 14:38:05:217;16.146;0;15.937;0;15.875;0;15.825;0;15.748;0;15.755;0;15.696;0;15.652;0;15.715;0;15.935;0;16.127;0;15.574;0;15.559;0;15.619;0;15.529;0;16.304;0
16;4/19/2024 14:38:07:217;16.141;0;15.929;0;15.872;0;15.812;0;15.735;0;15.747;0;15.657;0;15.646;0;15.692;0;15.948;0;16.111;0;15.587;0;15.572;0;15.613;0;15.524;0;16.288;0
17;4/19/2024 14:38:09:217;16.125;0;15.94;0;15.872;0;15.804;0;15.709;0;15.75;0;15.678;0;15.644;0;15.705;0;15.94;0;16.119;0;15.568;0;15.564;0;15.621;0;15.516;0;16.278;0
18;4/19/2024 14:38:11:217;16.114;0;15.948;0;15.888;0;15.817;0;15.748;0;15.742;0;15.683;0;15.641;0;15.697;0;15.929;0;16.111;0;15.558;0;15.572;0;15.616;0;15.524;0;16.281;0
19;4/19/2024 14:38:13:217;16.143;0;15.933;0;15.883;0;15.833;0;15.739;0;15.755;0;15.679;0;15.664;0;15.695;0;15.935;0;16.09;0;15.563;0;15.551;0;15.629;0;15.54;0;16.286;0
20;4/19/2024 14:38:15:217;16.135;0;15.936;0;15.864;0;15.823;0;15.721;0;15.774;0;15.679;0;15.666;0;15.703;0;15.913;0;16.106;0;15.568;0;15.57;0;15.605;0;15.5;0;16.288;0
21;4/19/2024 14:38:17:217;16.14;0;15.925;0;15.888;0;15.82;0;15.757;0;15.756;0;15.686;0;15.645;0;15.68;0;15.937;0;16.11;0;15.571;0;15.559;0;15.629;0;15.521;0;16.262;0
22;4/19/2024 14:38:19:217;16.154;0;15.961;0;15.885;0;15.849;0;15.744;0;15.764;0;15.683;0;15.663;0;15.699;0;15.933;0;16.107;0;15.568;0;15.554;0;15.615;0;15.491;0;16.269;0
23;4/19/2024 14:38:21:217;16.195;0;15.961;0;15.895;0;15.836;0;15.744;0;15.775;0;15.705;0;15.659;0;15.695;0;15.923;0;16.107;0;15.555;0;15.562;0;15.609;0;15.504;0;16.279;0
24;4/19/2024 14:38:23:217;16.198;0;15.978;0;15.905;0;15.857;0;15.757;0;15.775;0;15.689;0;15.677;0;15.707;0;15.927;0;16.086;0;15.56;0;15.575;0;15.615;0;15.496;0;16.287;0
25;4/19/2024 14:38:25:217;16.232;0;16.012;0;15.938;0;15.864;0;15.748;0;15.783;0;15.705;0;15.667;0;15.706;0;15.929;0;16.106;0;15.559;0;15.57;0;15.623;0;15.488;0;16.271;0
26;4/19/2024 14:38:27:217;16.252;0;16.01;0;15.938;0;15.867;0;15.744;0;15.789;0;15.705;0;15.662;0;15.701;0;15.924;0;16.095;0;15.577;0;15.564;0;15.646;0;15.496;0;16.25;0
27;4/19/2024 14:38:29:217;16.262;0;16.013;0;15.948;0;15.875;0;15.765;0;15.768;0;15.705;0;15.67;0;15.693;0;15.929;0;16.085;0;15.559;0;15.541;0;15.628;0;15.504;0;16.271;0
28;4/19/2024 14:38:31:217;16.246;0;16.005;0;15.93;0;15.878;0;15.749;0;15.781;0;15.689;0;15.654;0;15.703;0;15.923;0;16.107;0;15.56;0;15.572;0;15.638;0;15.504;0;16.271;0
29;4/19/2024 14:38:33:217;16.216;0;15.997;0;15.924;0;15.862;0;15.753;0;15.779;0;15.693;0;15.679;0;15.723;0;15.915;0;16.123;0;15.589;0;15.575;0;15.659;0;15.514;0;16.274;0
30;4/19/2024 14:38:35:217;16.214;0;15.991;0;15.921;0;15.88;0;15.768;0;15.79;0;15.713;0;15.667;0;15.724;0;15.907;0;16.107;0;15.584;0;15.569;0;15.665;0;15.528;0;16.274;0
31;4/19/2024 14:38:37:217;16.208;0;16.007;0;15.915;0;15.862;0;15.747;0;15.79;0;15.7;0;15.664;0;15.711;0;15.907;0;16.115;0;15.573;0;15.58;0;15.704;0;15.537;0;16.287;0
32;4/19/2024 14:38:39:217;16.201;0;15.996;0;15.934;0;15.878;0;15.756;0;15.794;0;15.708;0;15.67;0;15.741;0;15.912;0;16.12;0;15.581;0;15.58;0;15.7;0;15.531;0;16.325;0
33;4/19/2024 14:38:41:217;16.185;0;15.984;0;15.911;0;15.862;0;15.757;0;15.785;0;15.714;0;15.676;0;15.737;0;15.921;0;16.115;0;15.599;0;15.596;0;15.7;0;15.526;0;16.33;0
34;4/19/2024 14:38:43:217;16.187;0;15.982;0;15.917;0;15.859;0;15.762;0;15.774;0;15.706;0;15.676;0;15.724;0;15.913;0;16.11;0;15.589;0;15.598;0;15.729;0;15.547;0;16.314;0
35;4/19/2024 14:38:45:217;16.174;0;15.972;0;15.903;0;15.851;0;15.757;0;15.781;0;15.708;0;15.684;0;15.716;0;15.884;0;16.135;0;15.61;0;15.603;0;15.724;0;15.544;0;16.317;0
36;4/19/2024 14:38:47:217;16.169;0;15.974;0;15.906;0;15.854;0;15.758;0;15.786;0;15.693;0;15.683;0;15.738;0;15.863;0;16.145;0;15.602;0;15.606;0;15.747;0;15.547;0;16.301;0
37;4/19/2024 14:38:49:217;16.174;0;15.987;0;15.903;0;15.856;0;15.745;0;15.792;0;15.711;0;15.685;0;15.746;0;15.865;0;16.116;0;15.605;0;15.598;0;15.753;0;15.557;0;16.306;0
38;4/19/2024 14:38:51:217;16.174;0;15.971;0;15.909;0;15.854;0;15.756;0;15.789;0;15.696;0;15.685;0;15.73;0;15.839;0;16.124;0;15.602;0;15.601;0;15.755;0;15.576;0;16.317;0
39;4/19/2024 14:38:53:217;16.174;0;15.971;0;15.903;0;15.849;0;15.761;0;15.789;0;15.706;0;15.68;0;15.725;0;15.844;0;16.137;0;15.597;0;15.611;0;15.776;0;15.552;0;16.312;0
40;4/19/2024 14:38:55:217;16.161;0;15.979;0;15.909;0;15.846;0;15.753;0;15.797;0;15.701;0;15.688;0;15.704;0;15.813;0;16.121;0;15.61;0;15.622;0;15.782;0;15.555;0;16.309;0
41;4/19/2024 14:38:57:217;16.18;0;15.976;0;15.909;0;15.843;0;15.75;0;15.797;0;15.715;0;15.676;0;15.732;0;15.839;0;16.116;0;15.597;0;15.603;0;15.792;0;15.542;0;16.301;0
42;4/19/2024 14:38:59:217;16.179;0;15.978;0;15.919;0;15.856;0;15.749;0;15.797;0;15.702;0;15.7;0;15.737;0;15.815;0;16.132;0;15.591;0;15.609;0;15.803;0;15.55;0;16.298;0
43;4/19/2024 14:39:01:217;16.182;0;15.978;0;15.924;0;15.864;0;15.757;0;15.799;0;15.697;0;15.679;0;15.742;0;15.81;0;16.145;0;15.607;0;15.59;0;15.816;0;15.542;0;16.298;0
44;4/19/2024 14:39:03:217;16.185;0;15.964;0;15.898;0;15.859;0;15.767;0;15.799;0;15.702;0;15.673;0;15.733;0;15.798;0;16.104;0;15.591;0;15.593;0;15.822;0;15.531;0;16.295;0
45;4/19/2024 14:39:05:217;16.2;0;15.977;0;15.928;0;15.872;0;15.771;0;15.805;0;15.71;0;15.677;0;15.733;0;15.788;0;16.136;0;15.61;0;15.603;0;15.846;0;15.524;0;16.3;0
46;4/19/2024 14:39:07:217;16.25;0;16.009;0;15.949;0;15.88;0;15.78;0;15.816;0;15.726;0;15.68;0;15.719;0;15.78;0;16.136;0;15.581;0;15.595;0;15.859;0;15.54;0;16.287;0
47;4/19/2024 14:39:09:217;16.237;0;16.001;0;15.933;0;15.893;0;15.765;0;15.816;0;15.715;0;15.698;0;15.74;0;15.772;0;16.112;0;15.584;0;15.601;0;15.875;0;15.53;0;16.284;0
48;4/19/2024 14:39:11:217;16.282;0;16.04;0;15.956;0;15.901;0;15.787;0;15.816;0;15.726;0;15.697;0;15.725;0;15.77;0;16.133;0;15.597;0;15.582;0;15.894;0;15.535;0;16.295;0
49;4/19/2024 14:39:13:217;16.293;0;16.063;0;15.971;0;15.909;0;15.778;0;15.82;0;15.723;0;15.677;0;15.729;0;15.752;0;16.127;0;15.606;0;15.601;0;15.891;0;15.546;0;16.292;0
50;4/19/2024 14:39:15:217;16.281;0;16.035;0;15.963;0;15.903;0;15.784;0;15.808;0;15.712;0;15.676;0;15.738;0;15.776;0;16.123;0;15.586;0;15.616;0;15.941;0;15.556;0;16.302;0
51;4/19/2024 14:39:17:217;16.266;0;16.035;0;15.957;0;15.885;0;15.788;0;15.837;0;15.736;0;15.701;0;15.76;0;15.782;0;16.149;0;15.62;0;15.648;0;15.973;0;15.545;0;16.318;0
52;4/19/2024 14:39:19:217;16.247;0;16.039;0;15.957;0;15.895;0;15.788;0;15.835;0;15.719;0;15.718;0;15.767;0;15.793;0;16.159;0;15.61;0;15.645;0;16.007;0;15.548;0;16.332;0
53;4/19/2024 14:39:21:217;16.226;0;16.015;0;15.953;0;15.898;0;15.809;0;15.858;0;15.727;0;15.718;0;15.776;0;15.804;0;16.154;0;15.636;0;15.656;0;16.032;0;15.581;0;16.335;0
54;4/19/2024 14:39:23:217;16.227;0;16;0;15.958;0;15.901;0;15.795;0;15.857;0;15.748;0;15.708;0;15.788;0;15.815;0;16.176;0;15.662;0;15.669;0;16.068;0;15.586;0;16.34;0
55;4/19/2024 14:39:25:217;16.227;0;16.013;0;15.948;0;15.901;0;15.802;0;15.852;0;15.737;0;15.716;0;15.767;0;15.786;0;16.181;0;15.654;0;15.669;0;16.092;0;15.581;0;16.329;0
56;4/19/2024 14:39:27:217;16.234;0;15.994;0;15.927;0;15.882;0;15.792;0;15.86;0;15.748;0;15.73;0;15.783;0;15.791;0;16.173;0;15.651;0;15.661;0;16.121;0;15.57;0;16.332;0
57;4/19/2024 14:39:29:217;16.227;0;16;0;15.956;0;15.893;0;15.792;0;15.836;0;15.732;0;15.73;0;15.783;0;15.799;0;16.163;0;15.649;0;15.669;0;16.132;0;15.588;0;16.337;0
58;4/19/2024 14:39:31:217;16.227;0;16;0;15.935;0;15.895;0;15.795;0;15.849;0;15.732;0;15.708;0;15.775;0;15.796;0;16.166;0;15.662;0;15.685;0;16.174;0;15.581;0;16.324;0
59;4/19/2024 14:39:33:217;16.237;0;15.994;0;15.935;0;15.898;0;15.792;0;15.849;0;15.732;0;15.727;0;15.772;0;15.78;0;16.152;0;15.649;0;15.674;0;16.192;0;15.588;0;16.345;0
60;4/19/2024 14:39:35:217;16.232;0;16.013;0;15.937;0;15.866;0;15.779;0;15.844;0;15.732;0;15.711;0;15.772;0;15.778;0;16.16;0;15.657;0;15.677;0;16.235;0;15.586;0;16.335;0
61;4/19/2024 14:39:37:217;16.224;0;15.994;0;15.935;0;15.885;0;15.787;0;15.875;0;15.719;0;15.701;0;15.785;0;15.778;0;16.139;0;15.665;0;15.669;0;16.253;0;15.581;0;16.319;0
62;4/19/2024 14:39:39:217;16.237;0;15.989;0;15.937;0;15.882;0;15.784;0;15.836;0;15.732;0;15.685;0;15.788;0;15.775;0;16.158;0;15.657;0;15.677;0;16.287;0;15.583;0;16.316;0
63;4/19/2024 14:39:41:217;16.25;0;16;0;15.945;0;15.882;0;15.771;0;15.852;0;15.735;0;15.708;0;15.791;0;15.783;0;16.168;0;15.657;0;15.687;0;16.311;0;15.562;0;16.314;0
64;4/19/2024 14:39:43:217;16.237;0;15.992;0;15.935;0;15.895;0;15.781;0;15.838;0;15.713;0;15.685;0;15.788;0;15.77;0;16.144;0;15.641;0;15.692;0;16.348;0;15.581;0;16.327;0
65;4/19/2024 14:39:45:217;16.24;0;15.989;0;15.945;0;15.895;0;15.773;0;15.867;0;15.735;0;15.708;0;15.801;0;15.757;0;16.15;0;15.659;0;15.706;0;16.374;0;15.57;0;16.324;0
66;4/19/2024 14:39:47:217;16.258;0;16.006;0;15.932;0;15.895;0;15.78;0;15.852;0;15.744;0;15.699;0;15.792;0;15.754;0;16.147;0;15.641;0;15.679;0;16.395;0;15.567;0;16.322;0
67;4/19/2024 14:39:49:217;16.263;0;15.993;0;15.945;0;15.893;0;15.785;0;15.873;0;15.723;0;15.699;0;15.797;0;15.754;0;16.155;0;15.649;0;15.682;0;16.417;0;15.562;0;16.324;0
68;4/19/2024 14:39:51:217;16.253;0;15.98;0;15.953;0;15.893;0;15.796;0;15.849;0;15.712;0;15.694;0;15.816;0;15.754;0;16.147;0;15.662;0;15.69;0;16.464;0;15.565;0;16.294;0
69;4/19/2024 14:39:53:217;16.292;0;16.019;0;15.954;0;15.924;0;15.784;0;15.883;0;15.723;0;15.706;0;15.841;0;15.755;0;16.148;0;15.651;0;15.706;0;16.502;0;15.57;0;16.318;0
70;4/19/2024 14:39:55:217;16.324;0;16.023;0;15.965;0;15.943;0;15.775;0;15.887;0;15.721;0;15.689;0;15.848;0;15.753;0;16.151;0;15.657;0;15.708;0;16.539;0;15.558;0;16.297;0
71;4/19/2024 14:39:57:217;16.381;0;16.077;0;15.992;0;15.958;0;15.797;0;15.905;0;15.746;0;15.72;0;15.851;0;15.77;0;16.133;0;15.649;0;15.695;0;16.573;0;15.558;0;16.299;0
72;4/19/2024 14:39:59:217;16.355;0;16.065;0;16.013;0;15.958;0;15.813;0;15.896;0;15.75;0;15.723;0;15.888;0;15.776;0;16.148;0;15.683;0;15.713;0;16.623;0;15.569;0;16.315;0
73;4/19/2024 14:40:01:217;16.376;0;16.052;0;15.999;0;15.961;0;15.803;0;15.921;0;15.754;0;15.732;0;15.908;0;15.803;0;16.177;0;15.68;0;15.732;0;16.655;0;15.59;0;16.344;0
74;4/19/2024 14:40:03:217;16.373;0;16.058;0;15.991;0;15.963;0;15.818;0;15.925;0;15.751;0;15.742;0;15.932;0;15.839;0;16.177;0;15.712;0;15.774;0;16.71;0;15.601;0;16.354;0
75;4/19/2024 14:40:05:217;16.366;0;16.071;0;15.993;0;15.942;0;15.824;0;15.93;0;15.767;0;15.751;0;15.971;0;15.848;0;16.191;0;15.709;0;15.776;0;16.783;0;15.614;0;16.368;0
76;4/19/2024 14:40:07:217;16.339;0;16.045;0;16;0;15.961;0;15.83;0;15.949;0;15.758;0;15.755;0;16.006;0;15.851;0;16.197;0;15.727;0;15.795;0;16.817;0;15.63;0;16.371;0
77;4/19/2024 14:40:09:217;16.329;0;16.041;0;15.981;0;15.953;0;15.82;0;15.946;0;15.771;0;15.742;0;16.014;0;15.888;0;16.191;0;15.725;0;15.782;0;16.867;0;15.625;0;16.358;0
78;4/19/2024 14:40:11:217;16.329;0;16.039;0;16.003;0;15.966;0;15.826;0;15.927;0;15.758;0;15.729;0;16.054;0;15.859;0;16.173;0;15.735;0;15.803;0;16.909;0;15.63;0;16.345;0
79;4/19/2024 14:40:13:217;16.339;0;16.02;0;15.984;0;15.984;0;15.812;0;15.946;0;15.776;0;15.745;0;16.075;0;15.872;0;16.202;0;15.727;0;15.824;0;16.967;0;15.614;0;16.355;0
80;4/19/2024 14:40:15:217;16.334;0;16.017;0;15.987;0;15.977;0;15.82;0;15.967;0;15.755;0;15.742;0;16.106;0;15.883;0;16.183;0;15.743;0;15.818;0;16.996;0;15.627;0;16.353;0
81;4/19/2024 14:40:17:217;16.358;0;16.028;0;15.987;0;15.963;0;15.815;0;15.943;0;15.771;0;15.74;0;16.146;0;15.869;0;16.199;0;15.733;0;15.824;0;17.049;0;15.63;0;16.345;0
82;4/19/2024 14:40:19:217;16.368;0;16.031;0;16.003;0;15.963;0;15.794;0;15.949;0;15.747;0;15.742;0;16.175;0;15.864;0;16.183;0;15.743;0;15.829;0;17.086;0;15.625;0;16.363;0
83;4/19/2024 14:40:21:217;16.355;0;16.054;0;16;0;15.998;0;15.794;0;15.935;0;15.768;0;15.74;0;16.23;0;15.862;0;16.178;0;15.725;0;15.84;0;17.123;0;15.633;0;16.347;0
84;4/19/2024 14:40:23:217;16.366;0;16.028;0;15.992;0;15.977;0;15.81;0;15.964;0;15.76;0;15.724;0;16.265;0;15.875;0;16.215;0;15.733;0;15.826;0;17.181;0;15.627;0;16.361;0
85;4/19/2024 14:40:25:217;16.376;0;16.023;0;15.974;0;15.984;0;15.805;0;15.959;0;15.739;0;15.726;0;16.315;0;15.883;0;16.183;0;15.751;0;15.837;0;17.212;0;15.627;0;16.347;0
86;4/19/2024 14:40:27:217;16.387;0;16.023;0;16;0;15.99;0;15.789;0;15.959;0;15.742;0;15.737;0;16.354;0;15.888;0;16.183;0;15.751;0;15.866;0;17.268;0;15.627;0;16.342;0
87;4/19/2024 14:40:29:217;16.41;0;16.035;0;15.997;0;15.977;0;15.801;0;15.978;0;15.767;0;15.72;0;16.411;0;15.872;0;16.186;0;15.759;0;15.869;0;17.318;0;15.625;0;16.363;0
88;4/19/2024 14:40:31:217;16.468;0;16.065;0;16.017;0;16.008;0;15.816;0;15.992;0;15.763;0;15.73;0;16.481;0;15.879;0;16.182;0;15.756;0;15.861;0;17.353;0;15.621;0;16.349;0
89;4/19/2024 14:40:33:217;16.468;0;16.084;0;16.046;0;16.039;0;15.837;0;16.016;0;15.788;0;16.138;0;16.545;0;15.892;0;16.185;0;15.772;0;15.882;0;17.435;0;15.631;0;16.343;0
90;4/19/2024 14:40:35:217;16.502;0;16.084;0;16.051;0;16.055;0;15.834;0;16.002;0;15.773;0;17.267;0;16.623;0;15.913;0;16.206;0;15.775;0;15.916;0;17.493;0;15.658;0;16.37;0
91;4/19/2024 14:40:37:217;16.494;0;16.083;0;16.053;0;16.066;0;15.826;0;16.031;0;15.794;0;18.061;0;16.702;0;15.902;0;16.227;0;15.798;0;15.926;0;17.559;0;15.671;0;16.354;0
92;4/19/2024 14:40:39:217;16.539;0;16.085;0;16.064;0;16.045;0;15.855;0;16.034;0;15.791;0;18.357;0;16.785;0;15.909;0;16.232;0;15.817;0;15.947;0;17.639;0;15.688;0;16.384;0
93;4/19/2024 14:40:41:217;16.497;0;16.091;0;16.052;0;16.068;0;15.85;0;16.059;0;15.809;0;18.401;0;16.864;0;15.94;0;16.23;0;15.867;0;15.989;0;17.697;0;15.669;0;16.384;0
94;4/19/2024 14:40:43:217;16.521;0;16.087;0;16.063;0;16.082;0;15.853;0;16.048;0;15.802;0;18.368;0;16.937;0;15.953;0;16.257;0;15.99;0;15.984;0;17.76;0;15.706;0;16.397;0
95;4/19/2024 14:40:45:217;16.518;0;16.067;0;16.065;0;16.063;0;15.849;0;16.064;0;15.789;0;18.263;0;17.016;0;15.958;0;16.238;0;16.201;0;15.997;0;17.824;0;15.698;0;16.394;0
96;4/19/2024 14:40:47:217;16.547;0;16.08;0;16.06;0;16.087;0;15.843;0;16.053;0;15.807;0;18.199;0;17.1;0;15.982;0;16.246;0;16.481;0;16.002;0;17.884;0;15.703;0;16.384;0
97;4/19/2024 14:40:49:217;16.558;0;16.07;0;16.042;0;16.103;0;15.857;0;16.067;0;15.789;0;18.144;0;17.19;0;15.964;0;16.249;0;16.739;0;16.013;0;17.94;0;15.701;0;16.392;0
98;4/19/2024 14:40:51:217;16.581;0;16.064;0;16.065;0;16.084;0;15.854;0;16.104;0;15.818;0;18.086;0;17.256;0;15.985;0;16.246;0;17.064;0;16.023;0;18.013;0;15.709;0;16.381;0
99;4/19/2024 14:40:53:217;16.674;0;16.051;0;16.065;0;16.087;0;15.843;0;16.106;0;15.942;0;18.023;0;17.345;0;15.99;0;16.233;0;17.37;0;16.045;0;18.074;0;15.68;0;16.381;0
100;4/19/2024 14:40:55:217;16.756;0;16.072;0;16.044;0;16.103;0;15.843;0;16.096;0;16.171;0;17.978;0;17.44;0;15.995;0;16.243;0;17.699;0;16.06;0;18.137;0;15.685;0;16.394;0
