Name:,Data 0x2007 0x0957 4/4/2023 10:34:32 2
Owner:,matth
Comments:,
Acquisition Date:,4/04/2023 10:34:32
&Instrument:,34972A,Address:,USB0::0x0957::0x2007::MY57007646::INSTR,Modules:,1,Slot1:,34901A
Total Channels:,22
Channel,Name,Function,Range,Resolution,AdvSettings,Scale,Gain,Offset,Label,Test,Low,High,HWAlarm
101,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
102,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
103,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
104,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
105,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
106,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
107,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
108,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
109,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
110,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
111,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
112,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
113,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
114,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
115,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
116,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
117,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
118,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
119,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
120,,Temp (Type K),None,C,Temp (Type K)#1#0.016#Auto#0.001#C#Internal#0#false,False,1,0,C,Off,0,1,Alarm 1
121,,DC Current,Auto,5.5,DC Current#1#0.016#Auto#0.001,False,1,0,ADC,Off,0,1,Alarm 1
122,,DC Current,Auto,5.5,DC Current#1#0.016#Auto#0.001,False,1,0,ADC,Off,0,1,Alarm 1
Scan  Control:,Start Action:,Immediately,Stop Action:,User Terminated
Scan,Time,101 (C),Alarm 101,102 (C),Alarm 102,103 (C),Alarm 103,104 (C),Alarm 104,105 (C),Alarm 105,106 (C),Alarm 106,107 (C),Alarm 107,108 (C),Alarm 108,109 (C),Alarm 109,110 (C),Alarm 110,111 (C),Alarm 111,112 (C),Alarm 112,113 (C),Alarm 113,114 (C),Alarm 114,115 (C),Alarm 115,116 (C),Alarm 116,117 (C),Alarm 117,118 (C),Alarm 118,119 (C),Alarm 119,120 (C),Alarm 120,121 (ADC),Alarm 121,122 (ADC),Alarm 122
25,4/04/2023 10:38:32:224,25.383,0,-174.542,0,25.843,0,-9.9E+37,0,24.931,0,24.858,0,26.54,0,24.773,0,28.061,0,27.257,0,37.547,0,17.694,0,20.891,0,26.759,0,26.517,0,27.934,0,275.048,0,25.19,0,17.154,0,-135.07,0,1.655E-07,0,0,0
26,4/04/2023 10:38:42:224,25.594,0,-123.439,0,26.222,0,-132.266,0,25.341,0,25.302,0,27.093,0,25.003,0,28.574,0,28.748,0,38.482,0,17.734,0,21.001,0,27.177,0,26.896,0,28.448,0,154.71,0,25.807,0,17.273,0,-9.9E+37,0,4.14E-08,0,-6.2E-08,0
27,4/04/2023 10:38:52:224,28.052,0,-9.9E+37,0,26.476,0,-185.311,0,25.812,0,25.701,0,27.383,0,25.178,0,29.311,0,29.294,0,39.263,0,17.736,0,21.183,0,27.594,0,27.292,0,28.942,0,69.642,0,26.182,0,17.279,0,-9.9E+37,0,-4.14E-08,0,8.27E-08,0
28,4/04/2023 10:39:02:224,26.927,0,-165.179,0,26.916,0,-9.9E+37,0,26.21,0,26.021,0,27.863,0,25.632,0,30.085,0,29.694,0,40.192,0,17.75,0,21.599,0,28.11,0,27.814,0,29.499,0,255.506,0,26.425,0,17.296,0,-139.551,0,0,0,0,0
29,4/04/2023 10:39:12:224,27.232,0,-174.176,0,27.612,0,-144.712,0,26.7,0,26.702,0,28.551,0,25.807,0,30.289,0,30.04,0,41.001,0,17.758,0,21.735,0,28.77,0,28.282,0,30.009,0,98.114,0,26.732,0,17.216,0,-9.9E+37,0,4.14E-08,0,-8.27E-08,0
30,4/04/2023 10:39:22:224,27.352,0,-9.9E+37,0,28.022,0,-9.9E+37,0,27.253,0,27.182,0,29.394,0,26.154,0,31.406,0,30.856,0,41.888,0,17.75,0,21.785,0,29.229,0,28.718,0,30.52,0,108.69,0,27.371,0,17.255,0,-9.9E+37,0,-2.07E-08,0,-2.07E-08,0
31,4/04/2023 10:39:32:224,27.83,0,-96.467,0,30.535,0,-177.285,0,27.721,0,27.751,0,30.087,0,26.375,0,31.669,0,31.665,0,42.708,0,17.815,0,21.768,0,30.113,0,29.311,0,31.149,0,213.614,0,28.131,0,17.324,0,-127.715,0,1.034E-07,0,8.27E-08,0
32,4/04/2023 10:39:42:224,28.834,0,-181.025,0,30.212,0,-131.382,0,28.331,0,28.317,0,30.752,0,26.563,0,35.264,0,32.455,0,43.602,0,17.815,0,21.839,0,30.917,0,29.622,0,31.728,0,117.445,0,28.84,0,17.326,0,-9.9E+37,0,8.27E-08,0,0,0
33,4/04/2023 10:39:52:224,28.998,0,-9.9E+37,0,29.972,0,-9.9E+37,0,28.764,0,28.948,0,31.405,0,26.881,0,34.627,0,33.11,0,44.409,0,17.793,0,22.002,0,31.149,0,29.958,0,32.205,0,77.754,0,29.242,0,17.316,0,-9.9E+37,0,-8.27E-08,0,-6.2E-08,0
34,4/04/2023 10:40:02:224,29.765,0,-57.428,0,30.473,0,-178.902,0,29.414,0,29.579,0,32.04,0,27.222,0,34.399,0,33.772,0,45.254,0,17.833,0,22.206,0,31.298,0,30.601,0,32.814,0,175.939,0,29.606,0,17.359,0,-126.646,0,1.241E-07,0,1.034E-07,0
35,4/04/2023 10:40:12:224,30.904,0,-122.589,0,30.975,0,-9.9E+37,0,30.067,0,30.161,0,32.727,0,27.576,0,34.448,0,34.307,0,46.028,0,17.931,0,22.524,0,31.809,0,31.47,0,33.333,0,155.978,0,30.547,0,17.343,0,-147.006,0,2.07E-08,0,-4.14E-08,0
36,4/04/2023 10:40:22:224,30.779,0,-154.965,0,31.416,0,-115.822,0,30.723,0,30.896,0,33.306,0,27.84,0,34.543,0,34.926,0,46.9,0,17.942,0,22.755,0,32.304,0,32.171,0,33.912,0,89.271,0,31.006,0,17.327,0,-9.9E+37,0,8.27E-08,0,2.07E-08,0
37,4/04/2023 10:40:32:224,31.359,0,-9.9E+37,0,32.066,0,-9.9E+37,0,31.344,0,31.559,0,33.934,0,28.154,0,37.053,0,35.545,0,47.794,0,17.959,0,22.804,0,32.682,0,32.339,0,34.492,0,79.702,0,32.111,0,17.337,0,-9.9E+37,0,8.27E-08,0,2.07E-08,0
1,4/04/2023 10:40:45:236,31.969,0,-9.9E+37,0,32.989,0,-9.9E+37,0,32.226,0,33.286,0,34.931,0,28.968,0,36.725,0,36.525,0,48.873,0,17.938,0,23.096,0,33.287,0,32.806,0,35.172,0,128.833,0,32.711,0,17.271,0,-9.9E+37,0,0,0,1.034E-07,0
2,4/04/2023 10:40:55:220,32.929,0,-93.438,0,33.918,0,-60.11,0,32.885,0,33.278,0,35.835,0,29.371,0,37.143,0,37.733,0,49.652,0,17.897,0,23.321,0,33.812,0,33.483,0,35.704,0,130.859,0,33.552,0,17.29,0,-157.139,0,4.14E-08,0,1.034E-07,0
3,4/04/2023 10:41:05:220,33.63,0,-9.9E+37,0,34.412,0,-194.923,0,33.481,0,33.82,0,36.727,0,29.891,0,38.277,0,38.466,0,50.651,0,17.881,0,23.651,0,34.957,0,34.297,0,36.257,0,99.029,0,34.277,0,17.17,0,-9.9E+37,0,-1.034E-07,0,4.14E-08,0
4,4/04/2023 10:41:15:220,34.219,0,-9.9E+37,0,35.089,0,-9.9E+37,0,34.086,0,34.592,0,37.42,0,30.194,0,38.906,0,39.121,0,51.425,0,17.845,0,23.846,0,36.337,0,34.886,0,36.879,0,117.282,0,35.036,0,17.173,0,-9.9E+37,0,1.034E-07,0,2.07E-08,0
5,4/04/2023 10:41:25:220,35.204,0,-89.365,0,35.806,0,-181.358,0,35.59,0,35.466,0,38.152,0,30.59,0,39.503,0,40.072,0,52.259,0,17.871,0,24.121,0,36.956,0,35.502,0,37.522,0,130.092,0,35.537,0,17.219,0,-124.809,0,4.14E-08,0,-4.14E-08,0
6,4/04/2023 10:41:35:220,36.083,0,-156.922,0,38.378,0,-118.231,0,35.677,0,37.253,0,38.964,0,31.078,0,40.922,0,40.606,0,52.94,0,17.869,0,24.445,0,37.482,0,36.527,0,38.095,0,110.969,0,36.528,0,17.212,0,-9.9E+37,0,8.27E-08,0,2.07E-08,0
7,4/04/2023 10:41:45:220,38.69,0,-9.9E+37,0,38.131,0,-9.9E+37,0,36.461,0,37.163,0,39.596,0,32.087,0,41.804,0,41.565,0,53.737,0,17.854,0,24.646,0,37.858,0,38.904,0,38.73,0,116.683,0,36.907,0,17.199,0,-9.9E+37,0,-4.14E-08,0,2.07E-08,0
8,4/04/2023 10:41:55:220,38.586,0,-9.9E+37,0,38.68,0,-156.98,0,37.559,0,38.815,0,40.458,0,33.097,0,42.25,0,42.206,0,54.637,0,17.864,0,24.819,0,39.279,0,39.874,0,39.383,0,121.019,0,38.391,0,17.24,0,-9.9E+37,0,-8.27E-08,0,-4.14E-08,0
9,4/04/2023 10:42:05:220,38.047,0,-157.42,0,39.036,0,-144.601,0,38.576,0,38.787,0,41.254,0,34.085,0,43.518,0,43.048,0,55.499,0,17.805,0,25.069,0,39.586,0,40.372,0,39.98,0,132.827,0,38.935,0,17.168,0,-189.338,0,8.27E-08,0,1.448E-07,0
10,4/04/2023 10:42:15:220,38.937,0,-105.052,0,39.761,0,-9.9E+37,0,39.444,0,39.38,0,42.099,0,34.74,0,43.614,0,43.886,0,56.342,0,17.844,0,25.351,0,39.802,0,40.73,0,40.808,0,129.924,0,40.296,0,17.152,0,-143.296,0,1.034E-07,0,-4.14E-08,0
11,4/04/2023 10:42:25:220,39.473,0,-193.317,0,41.389,0,-174.45,0,40.324,0,40.509,0,43.048,0,35.351,0,45.278,0,44.476,0,57.139,0,17.832,0,25.455,0,40.699,0,41.189,0,41.327,0,129.433,0,40.551,0,17.177,0,-9.9E+37,0,-2.07E-08,0,0,0
12,4/04/2023 10:42:35:220,40.492,0,-9.9E+37,0,41.25,0,-191.715,0,40.647,0,41.486,0,43.453,0,36.11,0,46.316,0,45.533,0,58.069,0,17.864,0,25.681,0,42.169,0,41.99,0,42.138,0,134.654,0,40.887,0,17.26,0,-9.9E+37,0,0,0,2.07E-08,0
13,4/04/2023 10:42:45:220,40.958,0,-167.144,0,43.547,0,-179.971,0,41.459,0,41.994,0,44.572,0,37.159,0,46.279,0,48.3,0,58.894,0,17.856,0,25.994,0,42.71,0,42.276,0,42.762,0,147.037,0,41.625,0,17.212,0,-184.034,0,-2.07E-08,0,8.27E-08,0
14,4/04/2023 10:42:55:220,42.575,0,-88.689,0,43.414,0,-9.9E+37,0,42.898,0,42.876,0,45.591,0,37.856,0,48.763,0,47.704,0,59.634,0,17.824,0,26.133,0,43.44,0,42.375,0,43.482,0,148.99,0,42.688,0,17.216,0,-139.265,0,6.2E-08,0,0,0
15,4/04/2023 10:43:05:220,43.121,0,-9.9E+37,0,45.469,0,-66.635,0,43.399,0,43.997,0,46.307,0,37.736,0,48.084,0,48.428,0,60.598,0,17.81,0,26.569,0,43.747,0,43.022,0,44.118,0,138.687,0,43.892,0,17.26,0,-9.9E+37,0,4.14E-08,0,1.655E-07,0
16,4/04/2023 10:43:15:220,44.642,0,-9.9E+37,0,45.172,0,-9.9E+37,0,44.121,0,44.515,0,46.846,0,38.36,0,48.721,0,49.36,0,61.5,0,17.812,0,26.838,0,44.19,0,43.963,0,44.829,0,152.323,0,45.434,0,17.31,0,-9.9E+37,0,4.14E-08,0,0,0
17,4/04/2023 10:43:25:220,44.382,0,-105.127,0,46.247,0,-96.838,0,45.152,0,46.385,0,47.925,0,38.667,0,50.248,0,49.848,0,62.301,0,17.791,0,27.106,0,45.201,0,44.83,0,45.68,0,157.847,0,46.615,0,17.278,0,-152.319,0,1.241E-07,0,0,0
18,4/04/2023 10:43:35:220,45.181,0,-9.9E+37,0,47.002,0,-9.9E+37,0,46.683,0,47.264,0,48.918,0,39.188,0,50.473,0,50.695,0,63.102,0,17.808,0,27.38,0,46.031,0,45.82,0,46.421,0,152.877,0,47.053,0,17.324,0,-9.9E+37,0,-1.655E-07,0,-4.14E-08,0
19,4/04/2023 10:43:45:220,46.035,0,-9.9E+37,0,47.364,0,-9.9E+37,0,47.548,0,47.256,0,49.747,0,40.472,0,51.08,0,51.349,0,63.95,0,17.841,0,27.634,0,46.614,0,46.855,0,47.342,0,163.785,0,47.748,0,17.382,0,-9.9E+37,0,2.07E-08,0,6.2E-08,0
20,4/04/2023 10:43:55:220,47.071,0,-67.227,0,48.151,0,-130.236,0,47.935,0,48.242,0,50.858,0,41.981,0,52.608,0,52.406,0,64.939,0,17.831,0,27.859,0,47.469,0,47.958,0,48.105,0,167.923,0,48.465,0,17.419,0,-172.338,0,1.034E-07,0,-2.07E-08,0
21,4/04/2023 10:44:05:220,48.764,0,-9.9E+37,0,49.292,0,-171.052,0,48.825,0,49.381,0,51.869,0,42.913,0,52.892,0,52.926,0,65.612,0,17.82,0,28.032,0,48.066,0,48.288,0,48.883,0,162.861,0,49.789,0,17.447,0,-9.9E+37,0,2.07E-08,0,1.655E-07,0
22,4/04/2023 10:44:15:220,48.728,0,-9.9E+37,0,49.992,0,-9.9E+37,0,49.742,0,50.145,0,52.871,0,43.38,0,53.973,0,55.059,0,66.718,0,17.823,0,28.418,0,48.497,0,48.972,0,49.7,0,174.585,0,50.81,0,17.462,0,-9.9E+37,0,-2.07E-08,0,-2.07E-08,0
23,4/04/2023 10:44:25:220,49.701,0,-123.586,0,51.052,0,-179.75,0,50.654,0,51.292,0,53.415,0,43.511,0,54.667,0,57.438,0,67.663,0,17.838,0,28.755,0,49.798,0,49.565,0,51.522,0,175.828,0,52.187,0,17.499,0,-143.518,0,-8.27E-08,0,1.034E-07,0
24,4/04/2023 10:44:35:220,50.45,0,-92.316,0,52.16,0,-9.9E+37,0,51.535,0,51.862,0,54.495,0,43.63,0,55.273,0,58.452,0,68.38,0,17.833,0,28.987,0,50.485,0,50.564,0,52.707,0,178.901,0,53.074,0,17.565,0,-137.253,0,-4.14E-08,0,6.2E-08,0
